Date,Close_Oil,High_Oil,Low_Oil,Open_Oil,Volume_Oil,Oil_Return,Close_USD,High_USD,Low_USD,Open_USD,Volume_USD,USDNGN_Return
2021-04-26,65.6500015258789,66.25,64.56999969482422,66.0199966430664,27250,-0.006982406586411758,380.5499877929688,381.0,380.25,380.5499877929688,0,0.006723347016473846
2021-04-27,66.41999816894531,66.80000305175781,65.69999694824219,65.7699966430664,33604,0.01166056438934014,380.5,380.75,380.0,380.5,0,-0.0001313653343210067
2021-04-28,67.2699966430664,67.86000061035156,66.16000366210938,66.66000366210938,24119,0.0127161337543469,379.0,379.0,376.0,379.0,0,-0.003949972219314156
2021-04-29,68.55999755859375,68.94999694824219,67.04000091552734,67.04000091552734,10592,0.01899491654462169,376.0,408.1600036621094,379.5,379.5,0,-0.007947061692531834
2021-04-30,67.25,68.31999969482422,67.1500015258789,68.31999969482422,31012,-0.01929222019779917,380.5,380.5,380.0,380.5,0,0.011897033911846064
2021-05-03,67.55999755859375,67.83000183105469,66.08000183105469,66.7699966430664,17852,0.004599037320790426,410.2900085449219,379.5,379.5,379.5,0,0.07537807026549806
2021-05-04,68.87999725341797,69.43000030517578,67.37999725341797,67.6500015258789,27613,0.01934976444185151,380.0,380.5700073242188,379.5,380.0,0,-0.07669299484680725
2021-05-05,68.95999908447266,69.95999908447266,68.33999633789062,69.5,32004,0.0011607928346388217,380.0,380.0,376.0,380.0,0,0.0
2021-05-06,68.08999633789062,69.37000274658203,67.93000030517578,68.56999969482422,25171,-0.01269630736772097,380.0,408.2699890136719,376.0,380.0,0,0.0
2021-05-07,68.27999877929688,68.61000061035156,67.37999725341797,68.29000091552734,29163,0.002786574336830026,380.5,381.5,380.0,380.5,0,0.001314924581309022
2021-05-10,68.31999969482422,70.26000213623047,67.41000366210938,68.62000274658203,31833,0.0005856649651178476,380.0,410.1300048828125,380.0,380.0,0,-0.0013149245813090288
2021-05-11,68.55000305175781,68.75,67.12999725341797,68.23999786376953,40504,0.003360905513580224,380.0,408.2099914550781,380.0,380.0,0,0.0
2021-05-12,69.31999969482422,69.9000015258789,68.19000244140625,68.72000122070312,31702,0.011170009917948951,380.0,408.1600036621094,381.0899963378906,381.0899963378906,0,0.0
2021-05-13,67.05000305175781,69.0199966430664,66.47000122070312,69.0199966430664,38726,-0.03329480520264059,408.1600036621094,409.7300109863281,408.1400146484375,408.1600036621094,0,0.0714880106453095
2021-05-14,68.70999908447266,68.86000061035156,66.5,67.01000213623047,31042,0.024456080476126345,376.0,408.0,379.5,379.5,0,-0.08207011997584643
2021-05-17,69.45999908447266,69.62999725341797,68.19999694824219,68.86000061035156,26662,0.010856298416815794,412.5,412.8999938964844,408.25,412.5,0,0.09264706238484112
2021-05-18,68.70999908447266,70.23999786376953,67.27999877929688,69.52999877929688,43138,-0.010856298416815884,410.0,412.6000061035156,406.989990234375,412.0,0,-0.006079046076382226
2021-05-19,66.66000366210938,68.5999984741211,65.29000091552734,68.58000183105469,42607,-0.030289607901744217,410.0,412.2999877929688,410.0,412.0,0,0.0
2021-05-20,65.11000061035156,67.1500015258789,64.79000091552734,66.7300033569336,35448,-0.023526971193795685,412.0,412.2999877929688,408.8200073242188,412.0,0,0.004866189651172906
2021-05-21,66.44000244140625,66.94000244140625,64.55999755859375,65.04000091552734,33829,0.020221164868192993,412.0,412.1600036621094,412.0,412.0,0,0.0
2021-05-24,68.45999908447266,68.63999938964844,66.47000122070312,66.63999938964844,29400,0.029950298237743568,412.2000122070313,413.2900085449219,409.75,412.2000122070313,0,0.0004853487211727702
2021-05-25,68.6500015258789,68.88999938964844,67.83999633789062,68.38999938964844,20377,0.0027715347120448085,410.0,412.1000061035156,409.739990234375,412.0,0,-0.005351538372345637
2021-05-26,68.87000274658203,69.16000366210938,68.02999877929688,68.62999725341797,21097,0.0031995549963681194,409.0,412.1000061035156,408.25,412.0,0,-0.0024420036555517443
2021-05-27,69.45999908447266,69.51000213623047,68.11000061035156,68.87999725341797,6546,0.008530324698006304,409.0,412.1900024414063,412.0,412.0,0,0.0
2021-05-28,69.62999725341797,69.83000183105469,69.41999816894531,69.62000274658203,31275,0.0024444353737848564,410.0,412.7099914550781,407.0,412.0,0,0.002442003655551809
2021-06-01,70.25,71.3499984741211,68.7699966430664,69.02999877929688,39925,0.008864838704783724,412.5,412.5,409.4100036621094,412.5,0,0.0
2021-06-02,71.3499984741211,71.48999786376953,70.37000274658203,70.55999755859375,22202,0.01553701432316103,412.0,412.0499877929688,410.0,412.0,0,-0.0012128564252092936
2021-06-03,71.30999755859375,71.9800033569336,70.66000366210938,71.2699966430664,25178,-0.0005607867333246127,412.5,412.5,409.75,412.5,0,0.0012128564252092296
2021-06-04,71.88999938964844,72.16999816894531,70.76000213623047,71.3499984741211,24006,0.008100628702012601,412.0,412.0499877929688,409.9200134277344,412.0,0,-0.0012128564252092936
